ISO3_code,date,NCU_to_USD,source
PNG,11/05/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,12/05/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,13/05/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,14/05/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,15/05/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,16/05/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,17/05/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,18/05/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,19/05/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,20/05/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,21/05/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,22/05/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,23/05/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,24/05/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,25/05/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,26/05/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,27/05/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,28/05/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,29/05/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,30/05/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,31/05/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,1/06/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,2/06/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,3/06/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,4/06/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,5/06/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,6/06/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,7/06/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,8/06/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,9/06/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,10/06/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,11/06/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,12/06/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,13/06/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,14/06/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,15/06/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,16/06/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,17/06/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,18/06/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,19/06/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,20/06/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,21/06/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,22/06/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,23/06/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,24/06/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,25/06/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,26/06/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,27/06/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,28/06/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,29/06/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,30/06/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,1/08/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,2/08/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,3/08/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,4/08/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,5/08/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,6/08/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,7/08/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,8/08/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,9/08/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,10/08/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,11/08/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,12/08/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,13/08/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,14/08/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,15/08/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,16/08/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,17/08/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,18/08/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,19/08/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,20/08/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,21/08/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,22/08/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,23/08/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,24/08/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,25/08/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,26/08/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,27/08/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,28/08/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,29/08/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,30/08/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,31/08/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,1/09/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,2/09/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,3/09/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,4/09/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,5/09/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,6/09/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,7/09/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,8/09/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,9/09/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,10/09/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,11/09/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,12/09/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,13/09/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,14/09/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,15/09/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,16/09/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,17/09/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,18/09/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,19/09/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,20/09/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,21/09/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,22/09/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,23/09/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,24/09/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,25/09/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,26/09/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,27/09/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,28/09/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
